,InvStokes1,Alpha,AspectRatio,FlaringIndex,PlanetMass,SigmaSlope,nx,rout,ny
113,354.8133892335753,0.0001621810097358,0.07025,0,1.2735030810166627e-05,0.5,600.0,3,193.0
114,13.489628825916531,0.0074131024130091,0.05975,0,0.0005308844442309,0.5,600.0,3,193.0
115,537.0317963702527,0.0002454708915685,0.07585,0,0.0024266100950824,0.5,600.0,3,193.0
116,309.0295432513592,0.001949844599758,0.04855,0,6.683439175686149e-05,0.5,647.0,3,208.0
117,10.715193052376064,0.0001122018454301,0.07235,0,0.0051880003892896,0.5,600.0,5,242.0
118,512.8613839913648,0.0001348962882591,0.08075,0,9.440608762859228e-05,0.5,600.0,3,193.0
119,616.5950018614822,0.0015488166189124,0.09475,0,0.0004623810213992,0.5,600.0,3,193.0
120,269.1534803926914,0.0048977881936844,0.05415,0,0.0004315190768277,0.5,600.0,3,193.0
121,19.49844599758045,0.0001778279410038,0.08635,0,0.0045185594437492,0.5,600.0,3,193.0
122,20.417379446695296,0.0001071519305237,0.09685,0,0.0059566214352901,0.5,600.0,5,242.0
123,245.4708915685031,0.0097723722095581,0.09965,0,0.0003758374042884,0.5,600.0,3,193.0
124,489.7788193684461,0.002454708915685,0.03945,0,5.0699070827470445e-05,0.5,796.0,3,256.0
125,154.88166189124811,0.0032359365692962,0.08215,0,4.415704473533121e-05,0.5,600.0,3,193.0
126,407.380277804113,0.0005128613839913,0.05205,0,3.58921934645005e-05,0.5,604.0,3,195.0
127,26.915348039269155,0.0007413102413009,0.08705,0,7.673614893618186e-05,0.5,600.0,3,193.0
128,67.60829753919819,0.0005888436553555,0.03805,0,0.0031988951096913,0.5,826.0,3,266.0
129,16.982436524617444,0.0002951209226666,0.09545,0,0.0002018366363681,0.5,600.0,3,193.0
130,776.247116628692,0.0004073802778041,0.08005,0,0.0002162718523727,0.5,600.0,3,193.0
131,257.03957827688646,0.0004466835921509,0.03035,0,8.810488730080147e-05,0.5,1035.0,3,333.0
132,141.2537544622754,0.0001949844599758,0.0716499999999999,0,3.126079367123956e-05,0.5,600.0,3,193.0
133,58.8843655355589,0.0028183829312644,0.04295,0,0.0026001595631652,0.5,731.0,3,235.0
134,295.1209226666384,0.0017782794100389,0.06325,0,0.0001011579454259,0.5,600.0,3,193.0
135,14.12537544622754,0.0006165950018614,0.05695,0,0.0096605087898981,0.5,600.0,5,242.0
136,162.181009735893,0.0051286138399136,0.06185,0,3.3496543915782794e-05,0.5,600.0,3,193.0
137,186.2087136662868,0.0081283051616409,0.03315,0,1.5667510701081502e-05,0.5,948.0,3,305.0
138,46.77351412871981,0.0011748975549395,0.08425,0,1.109174815262401e-05,0.5,600.0,3,193.0
139,42.65795188015925,0.0035481338923357,0.09405,0,0.0048417236758409,0.5,600.0,3,193.0
